data;scadenza;prezzo;tipo;prodotto;fonte
2026-01-23;lug-27;254.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-01-26;lug-27;253.0;PDT;GRANO DURO;PDF (PDT & PMG.pdf)
2026-01-27;lug-27;252.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-01-29;lug-27;254.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-02-02;lug-27;253.0;PDT;GRANO DURO;PDF (PDT & PMG.pdf)
2026-02-03;lug-27;254.0;PDT;GRANO DURO;PDF (PDT & PMG.pdf)
2026-02-04;lug-27;253.0;PDT;GRANO DURO;PDF (PDT & PMG.pdf)
2026-02-05;lug-27;253.0;PDT;GRANO DURO;PDF (PDT & PMG.pdf)
2026-02-06;lug-27;254.0;PDT;GRANO DURO;PDF (PDT & PMG.pdf)
2026-02-09;lug-27;252.0;PDT;GRANO DURO;PDF (PDT & PMG.pdf)
2026-02-10;lug-27;251.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-02-11;lug-27;252.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-02-12;lug-27;253.0;PDT;GRANO DURO;PDF (PDT & PMG.pdf)
2026-02-13;lug-27;254.0;PDT;GRANO DURO;PDF (PDT & PMG.pdf)
2026-02-16;lug-27;253.0;PDT;GRANO DURO;PDF (PDT & PMG.pdf)
2026-02-17;lug-27;253.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-02-18;lug-27;252.0;PDT;GRANO DURO;PDF (PDT & PMG.pdf)
2026-02-19;lug-27;253.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-02-20;lug-27;255.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-02-23;lug-27;256.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-02-24;lug-27;255.0;PDT;GRANO DURO;PDF (PDT & PMG.pdf)
2026-02-25;lug-27;226.0;PDT;GRANO DURO;PDF (PDT & PMG.pdf)
2026-02-26;lug-27;257.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-02-27;lug-27;228.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-03-02;lug-27;233.0;PDT;GRANO DURO;PDF (PDT & PMG.pdf)
2026-03-03;lug-27;232.0;PDT;GRANO DURO;PDF (PDT & PMG.pdf)
2026-03-09;lug-27;256.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-03-10;lug-27;250.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-03-11;lug-27;251.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-03-12;lug-27;251.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-03-13;lug-27;252.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-03-16;lug-27;253.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-03-18;lug-27;250.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-03-19;lug-27;242.0;PDT;GRANO DURO;PDF (PDT & PMG.pdf)
2026-03-23;lug-27;242.0;PDT;GRANO DURO;Storico Simulato CAI
2026-03-24;lug-27;234.0;PDT;GRANO DURO;PDF (PDT & PMG.pdf)
2026-03-27;lug-27;238.0;PDT;GRANO DURO;PDF (PDT & PMG.pdf)
2026-03-30;lug-27;237.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-03-31;lug-27;238.0;PDT;GRANO DURO;PDF (PDT & PMG.pdf)
2026-04-01;lug-27;250.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-04-02;lug-27;251.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-04-07;lug-27;250.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-04-08;lug-27;247.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-04-09;lug-27;247.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-04-10;lug-27;244.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-04-14;lug-27;244.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-04-15;lug-27;246.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-04-16;lug-27;246.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-04-17;lug-27;244.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-04-20;lug-27;245.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-04-21;lug-27;247.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-04-22;lug-27;248.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-04-23;lug-27;249.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-04-24;lug-27;250.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-04-27;lug-27;249.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-04-28;lug-27;252.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-04-29;lug-27;255.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-04-30;lug-27;256.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-05-02;lug-27;255.0;PDT;GRANO DURO;Storico Simulato CAI
2026-05-04;lug-27;252.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-05-05;lug-27;252.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-05-06;lug-27;249.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-05-07;lug-27;247.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-05-08;lug-27;247.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-05-11;lug-27;247.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-05-12;lug-27;250.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-05-13;lug-27;255.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-05-14;lug-27;261.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-05-15;lug-27;258.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-05-18;lug-27;258.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-05-19;lug-27;259.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-05-20;lug-27;259.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-05-21;lug-27;259.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-05-22;lug-27;256.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-05-25;lug-27;254.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-05-26;lug-27;250.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-05-27;lug-27;250.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-05-28;lug-27;250.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-05-29;lug-27;249.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-06-01;lug-27;253.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-06-01;lug-28;255.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-06-04;lug-27;250.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-06-04;lug-28;252.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-06-08;lug-27;249.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-06-08;lug-28;251.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-06-09;lug-27;248.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-06-09;lug-28;250.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-06-10;lug-27;249.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-06-10;lug-28;251.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-06-11;lug-27;250.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-06-11;lug-28;252.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-06-12;lug-27;249.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-06-12;lug-28;251.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-06-15;lug-27;245.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-06-15;lug-28;247.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-06-16;lug-27;245.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-06-16;lug-28;247.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-06-17;lug-27;246.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-06-17;lug-28;248.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-06-18;lug-27;249.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-06-18;lug-28;251.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-06-19;lug-27;248.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-06-19;lug-28;250.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-06-22;lug-27;247.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-06-22;lug-28;249.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-06-23;lug-27;247.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-06-23;lug-28;249.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-06-24;lug-27;248.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-06-24;lug-28;250.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-06-25;lug-27;249.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-06-25;lug-28;251.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-06-26;lug-27;248.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
